101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.100000		-0.800000		-0.215581
0.101000		-0.800000		-0.214326
0.102000		-0.800000		-0.213099
0.103000		-0.800000		-0.211899
0.104000		-0.800000		-0.210727
0.105000		-0.800000		-0.209581
0.106000		-0.800000		-0.208463
0.107000		-0.800000		-0.207372
0.108000		-0.800000		-0.206308
0.109000		-0.800000		-0.205270
0.110000		-0.800000		-0.204259
0.111000		-0.800000		-0.203274
0.112000		-0.800000		-0.202315
0.113000		-0.800000		-0.201382
0.114000		-0.800000		-0.200475
0.115000		-0.800000		-0.199593
0.116000		-0.800000		-0.198736
0.117000		-0.800000		-0.197905
0.118000		-0.800000		-0.197099
0.119000		-0.800000		-0.196317
0.120000		-0.800000		-0.195560
0.121000		-0.800000		-0.194827
0.122000		-0.800000		-0.194118
0.123000		-0.800000		-0.193432
0.124000		-0.800000		-0.192770
0.125000		-0.800000		-0.192130
0.126000		-0.800000		-0.191514
0.127000		-0.800000		-0.190920
0.128000		-0.800000		-0.190348
0.129000		-0.800000		-0.189798
0.130000		-0.800000		-0.189270
0.131000		-0.800000		-0.188762
0.132000		-0.800000		-0.188276
0.133000		-0.800000		-0.187810
0.134000		-0.800000		-0.187364
0.135000		-0.800000		-0.186939
0.136000		-0.800000		-0.186532
0.137000		-0.800000		-0.186145
0.138000		-0.800000		-0.185777
0.139000		-0.800000		-0.185428
0.140000		-0.800000		-0.185096
0.141000		-0.800000		-0.184783
0.142000		-0.800000		-0.184487
0.143000		-0.800000		-0.184208
0.144000		-0.800000		-0.183946
0.145000		-0.800000		-0.183701
0.146000		-0.800000		-0.183472
0.147000		-0.800000		-0.183259
0.148000		-0.800000		-0.183061
0.149000		-0.800000		-0.182878
0.150000		-0.800000		-0.182711
0.151000		-0.800000		-0.182558
0.152000		-0.800000		-0.182419
0.153000		-0.800000		-0.182294
0.154000		-0.800000		-0.182183
0.155000		-0.800000		-0.182085
0.156000		-0.800000		-0.182000
0.157000		-0.800000		-0.181927
0.158000		-0.800000		-0.181868
0.159000		-0.800000		-0.181820
0.160000		-0.800000		-0.181784
0.161000		-0.800000		-0.181760
0.162000		-0.800000		-0.181746
0.163000		-0.800000		-0.181744
0.164000		-0.800000		-0.181753
0.165000		-0.800000		-0.181772
0.166000		-0.800000		-0.181801
0.167000		-0.800000		-0.181840
0.168000		-0.800000		-0.181888
0.169000		-0.800000		-0.181946
0.170000		-0.800000		-0.182014
0.171000		-0.800000		-0.182090
0.172000		-0.800000		-0.182174
0.173000		-0.800000		-0.182267
0.174000		-0.800000		-0.182368
0.175000		-0.800000		-0.182477
0.176000		-0.800000		-0.182594
0.177000		-0.800000		-0.182718
0.178000		-0.800000		-0.182850
0.179000		-0.800000		-0.182988
0.180000		-0.800000		-0.183134
0.181000		-0.800000		-0.183285
0.182000		-0.800000		-0.183444
0.183000		-0.800000		-0.183608
0.184000		-0.800000		-0.183779
0.185000		-0.800000		-0.183955
0.186000		-0.800000		-0.184137
0.187000		-0.800000		-0.184324
0.188000		-0.800000		-0.184516
0.189000		-0.800000		-0.184714
0.190000		-0.800000		-0.184916
0.191000		-0.800000		-0.185123
0.192000		-0.800000		-0.185335
0.193000		-0.800000		-0.185551
0.194000		-0.800000		-0.185771
0.195000		-0.800000		-0.185995
0.196000		-0.800000		-0.186223
0.197000		-0.800000		-0.186455
0.198000		-0.800000		-0.186690
0.199000		-0.800000		-0.186929
0.200000		-0.800000		-0.187171
0.100000		-0.780000		-0.212017
0.101000		-0.780000		-0.210829
0.102000		-0.780000		-0.209666
0.103000		-0.780000		-0.208529
0.104000		-0.780000		-0.207417
0.105000		-0.780000		-0.206331
0.106000		-0.780000		-0.205270
0.107000		-0.780000		-0.204235
0.108000		-0.780000		-0.203225
0.109000		-0.780000		-0.202240
0.110000		-0.780000		-0.201281
0.111000		-0.780000		-0.200346
0.112000		-0.780000		-0.199436
0.113000		-0.780000		-0.198551
0.114000		-0.780000		-0.197691
0.115000		-0.780000		-0.196854
0.116000		-0.780000		-0.196042
0.117000		-0.780000		-0.195255
0.118000		-0.780000		-0.194491
0.119000		-0.780000		-0.193750
0.120000		-0.780000		-0.193033
