101
81
T [GeV]		muB [GeV]		G [1]
0.100000		-0.800000		-1.696697
0.101000		-0.800000		-1.665205
0.102000		-0.800000		-1.634591
0.103000		-0.800000		-1.604829
0.104000		-0.800000		-1.575895
0.105000		-0.800000		-1.547765
0.106000		-0.800000		-1.520416
0.107000		-0.800000		-1.493827
0.108000		-0.800000		-1.467975
0.109000		-0.800000		-1.442840
0.110000		-0.800000		-1.418404
0.111000		-0.800000		-1.394646
0.112000		-0.800000		-1.371548
0.113000		-0.800000		-1.349092
0.114000		-0.800000		-1.327260
0.115000		-0.800000		-1.306037
0.116000		-0.800000		-1.285404
0.117000		-0.800000		-1.265347
0.118000		-0.800000		-1.245849
0.119000		-0.800000		-1.226896
0.120000		-0.800000		-1.208473
0.121000		-0.800000		-1.190566
0.122000		-0.800000		-1.173160
0.123000		-0.800000		-1.156242
0.124000		-0.800000		-1.139798
0.125000		-0.800000		-1.123817
0.126000		-0.800000		-1.108285
0.127000		-0.800000		-1.093189
0.128000		-0.800000		-1.078519
0.129000		-0.800000		-1.064263
0.130000		-0.800000		-1.050408
0.131000		-0.800000		-1.036944
0.132000		-0.800000		-1.023861
0.133000		-0.800000		-1.011147
0.134000		-0.800000		-0.998793
0.135000		-0.800000		-0.986788
0.136000		-0.800000		-0.975123
0.137000		-0.800000		-0.963788
0.138000		-0.800000		-0.952774
0.139000		-0.800000		-0.942073
0.140000		-0.800000		-0.931674
0.141000		-0.800000		-0.921571
0.142000		-0.800000		-0.911754
0.143000		-0.800000		-0.902215
0.144000		-0.800000		-0.892947
0.145000		-0.800000		-0.883941
0.146000		-0.800000		-0.875191
0.147000		-0.800000		-0.866689
0.148000		-0.800000		-0.858428
0.149000		-0.800000		-0.850401
0.150000		-0.800000		-0.842601
0.151000		-0.800000		-0.835022
0.152000		-0.800000		-0.827657
0.153000		-0.800000		-0.820501
0.154000		-0.800000		-0.813546
0.155000		-0.800000		-0.806788
0.156000		-0.800000		-0.800221
0.157000		-0.800000		-0.793839
0.158000		-0.800000		-0.787636
0.159000		-0.800000		-0.781607
0.160000		-0.800000		-0.775748
0.161000		-0.800000		-0.770052
0.162000		-0.800000		-0.764517
0.163000		-0.800000		-0.759135
0.164000		-0.800000		-0.753904
0.165000		-0.800000		-0.748818
0.166000		-0.800000		-0.743873
0.167000		-0.800000		-0.739065
0.168000		-0.800000		-0.734390
0.169000		-0.800000		-0.729843
0.170000		-0.800000		-0.725421
0.171000		-0.800000		-0.721121
0.172000		-0.800000		-0.716937
0.173000		-0.800000		-0.712867
0.174000		-0.800000		-0.708907
0.175000		-0.800000		-0.705054
0.176000		-0.800000		-0.701304
0.177000		-0.800000		-0.697655
0.178000		-0.800000		-0.694102
0.179000		-0.800000		-0.690643
0.180000		-0.800000		-0.687275
0.181000		-0.800000		-0.683995
0.182000		-0.800000		-0.680800
0.183000		-0.800000		-0.677688
0.184000		-0.800000		-0.674655
0.185000		-0.800000		-0.671699
0.186000		-0.800000		-0.668818
0.187000		-0.800000		-0.666009
0.188000		-0.800000		-0.663270
0.189000		-0.800000		-0.660597
0.190000		-0.800000		-0.657990
0.191000		-0.800000		-0.655446
0.192000		-0.800000		-0.652962
0.193000		-0.800000		-0.650537
0.194000		-0.800000		-0.648169
0.195000		-0.800000		-0.645855
0.196000		-0.800000		-0.643593
0.197000		-0.800000		-0.641382
0.198000		-0.800000		-0.639220
0.199000		-0.800000		-0.637105
0.200000		-0.800000		-0.635036
0.100000		-0.780000		-1.654353
0.101000		-0.780000		-1.623977
0.102000		-0.780000		-1.594437
0.103000		-0.780000		-1.565709
0.104000		-0.780000		-1.537770
0.105000		-0.780000		-1.510599
0.106000		-0.780000		-1.484175
0.107000		-0.780000		-1.458477
0.108000		-0.780000		-1.433486
0.109000		-0.780000		-1.409182
0.110000		-0.780000		-1.385548
0.111000		-0.780000		-1.362566
0.112000		-0.780000		-1.340218
0.113000		-0.780000		-1.318487
0.114000		-0.780000		-1.297357
0.115000		-0.780000		-1.276813
0.116000		-0.780000		-1.256838
0.117000		-0.780000		-1.237418
0.118000		-0.780000		-1.218538
0.119000		-0.780000		-1.200184
0.120000		-0.780000		-1.182342
0.121000		-0.780000		-1.164998
0.122000		-0.780000		-1.148139
0.123000		-0.780000		-1.131751
0.124000		-0.780000		-1.115824
0.125000		-0.780000		-1.100343
0.126000		-0.780000		-1.085298
0.127000		-0.780000		-1.070676
0.128000		-0.780000		-1.056465
0.129000		-0.780000		-1.042656
0.130000		-0.780000		-1.029236
0.131000		-0.780000		-1.016196
0.132000		-0.780000		-1.003525
0.133000		-0.780000		-0.991212
0.134000		-0.780000		-0.979249
0.135000		-0.780000		-0.967624
0.136000		-0.780000		-0.956330
0.137000		-0.780000		-0.945356
0.138000		-0.780000		-0.934694
0.139000		-0.780000		-0.924336
0.140000		-0.780000		-0.914272
0.141000		-0.780000		-0.904494
0.142000		-0.780000		-0.894994
0.143000		-0.780000		-0.885765
0.144000		-0.780000		-0.876799
0.145000		-0.780000		-0.868088
0.146000		-0.780000		-0.859626
0.147000		-0.780000		-0.851404
0.148000		-0.780000		-0.843416
0.149000		-0.780000		-0.835655
0.150000		-0.780000		-0.828116
0.151000		-0.780000		-0.820790
0.152000		-0.780000		-0.813673
0.153000		-0.780000		-0.806758
0.154000		-0.780000		-0.800039
0.155000		-0.780000		-0.793511
0.156000		-0.780000		-0.787167
0.157000		-0.780000		-0.781003
0.158000		-0.780000		-0.775013
0.159000		-0.780000		-0.769192
0.160000		-0.780000		-0.763535
0.161000		-0.780000		-0.758036
0.162000		-0.780000		-0.752692
0.163000		-0.780000		-0.747498
0.164000		-0.780000		-0.742449
0.165000		-0.780000		-0.737540
0.166000		-0.780000		-0.732768
0.167000		-0.780000		-0.728128
0.168000		-0.780000		-0.723616
0.169000		-0.780000		-0.719228
0.170000		-0.780000		-0.714961
0.171000		-0.780000		-0.710810
0.172000		-0.780000		-0.706772
0.173000		-0.780000		-0.702844
0.174000		-0.780000		-0.699021
0.175000		-0.780000		-0.695302
0.176000		-0.780000		-0.691681
0.177000		-0.780000		-0.688156
0.178000		-0.780000		-0.684725
0.179000		-0.780000		-0.681383
0.180000		-0.780000		-0.678129
0.181000		-0.780000		-0.674959
0.182000		-0.780000		-0.671870
0.183000		-0.780000		-0.668860
0.184000		-0.780000		-0.665926
