101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.100000		-0.800000		3.340136
0.101000		-0.800000		3.465941
0.102000		-0.800000		3.595049
0.103000		-0.800000		3.727497
0.104000		-0.800000		3.863324
0.105000		-0.800000		4.002565
0.106000		-0.800000		4.145253
0.107000		-0.800000		4.291421
0.108000		-0.800000		4.441101
0.109000		-0.800000		4.594323
0.110000		-0.800000		4.751114
0.111000		-0.800000		4.911503
0.112000		-0.800000		5.075514
0.113000		-0.800000		5.243171
0.114000		-0.800000		5.414498
0.115000		-0.800000		5.589515
0.116000		-0.800000		5.768242
0.117000		-0.800000		5.950697
0.118000		-0.800000		6.136897
0.119000		-0.800000		6.326857
0.120000		-0.800000		6.520591
0.121000		-0.800000		6.718111
0.122000		-0.800000		6.919430
0.123000		-0.800000		7.124556
0.124000		-0.800000		7.333499
0.125000		-0.800000		7.546265
0.126000		-0.800000		7.762862
0.127000		-0.800000		7.983295
0.128000		-0.800000		8.207567
0.129000		-0.800000		8.435682
0.130000		-0.800000		8.667642
0.131000		-0.800000		8.903448
0.132000		-0.800000		9.143100
0.133000		-0.800000		9.386599
0.134000		-0.800000		9.633943
0.135000		-0.800000		9.885129
0.136000		-0.800000		10.140156
0.137000		-0.800000		10.399021
0.138000		-0.800000		10.661719
0.139000		-0.800000		10.928247
0.140000		-0.800000		11.198601
0.141000		-0.800000		11.472775
0.142000		-0.800000		11.750765
0.143000		-0.800000		12.032565
0.144000		-0.800000		12.318170
0.145000		-0.800000		12.607574
0.146000		-0.800000		12.900771
0.147000		-0.800000		13.197756
0.148000		-0.800000		13.498523
0.149000		-0.800000		13.803066
0.150000		-0.800000		14.111379
0.151000		-0.800000		14.423458
0.152000		-0.800000		14.739297
0.153000		-0.800000		15.058891
0.154000		-0.800000		15.382236
0.155000		-0.800000		15.709327
0.156000		-0.800000		16.040159
0.157000		-0.800000		16.374730
0.158000		-0.800000		16.713036
0.159000		-0.800000		17.055073
0.160000		-0.800000		17.400841
0.161000		-0.800000		17.750336
0.162000		-0.800000		18.103558
0.163000		-0.800000		18.460506
0.164000		-0.800000		18.821178
0.165000		-0.800000		19.185576
0.166000		-0.800000		19.553701
0.167000		-0.800000		19.925553
0.168000		-0.800000		20.301134
0.169000		-0.800000		20.680449
0.170000		-0.800000		21.063498
0.171000		-0.800000		21.450288
0.172000		-0.800000		21.840822
0.173000		-0.800000		22.235105
0.174000		-0.800000		22.633143
0.175000		-0.800000		23.034943
0.176000		-0.800000		23.440513
0.177000		-0.800000		23.849859
0.178000		-0.800000		24.262991
0.179000		-0.800000		24.679918
0.180000		-0.800000		25.100649
0.181000		-0.800000		25.525195
0.182000		-0.800000		25.953569
0.183000		-0.800000		26.385780
0.184000		-0.800000		26.821842
0.185000		-0.800000		27.261769
0.186000		-0.800000		27.705573
0.187000		-0.800000		28.153270
0.188000		-0.800000		28.604874
0.189000		-0.800000		29.060401
0.190000		-0.800000		29.519868
0.191000		-0.800000		29.983291
0.192000		-0.800000		30.450688
0.193000		-0.800000		30.922076
0.194000		-0.800000		31.397476
0.195000		-0.800000		31.876905
0.196000		-0.800000		32.360384
0.197000		-0.800000		32.847932
0.198000		-0.800000		33.339572
0.199000		-0.800000		33.835323
0.200000		-0.800000		34.335209
0.100000		-0.780000		2.801553
0.101000		-0.780000		2.908201
0.102000		-0.780000		3.017760
0.103000		-0.780000		3.130270
0.104000		-0.780000		3.245769
0.105000		-0.780000		3.364293
0.106000		-0.780000		3.485878
0.107000		-0.780000		3.610559
0.108000		-0.780000		3.738370
0.109000		-0.780000		3.869342
0.110000		-0.780000		4.003507
0.111000		-0.780000		4.140895
0.112000		-0.780000		4.281535
0.113000		-0.780000		4.425456
0.114000		-0.780000		4.572683
0.115000		-0.780000		4.723242
0.116000		-0.780000		4.877157
0.117000		-0.780000		5.034452
0.118000		-0.780000		5.195148
0.119000		-0.780000		5.359266
0.120000		-0.780000		5.526825
0.121000		-0.780000		5.697845
0.122000		-0.780000		5.872342
0.123000		-0.780000		6.050333
0.124000		-0.780000		6.231833
0.125000		-0.780000		6.416857
0.126000		-0.780000		6.605417
0.127000		-0.780000		6.797527
0.128000		-0.780000		6.993197
0.129000		-0.780000		7.192437
0.130000		-0.780000		7.395259
0.131000		-0.780000		7.601671
0.132000		-0.780000		7.811680
0.133000		-0.780000		8.025295
0.134000		-0.780000		8.242522
0.135000		-0.780000		8.463368
0.136000		-0.780000		8.687839
0.137000		-0.780000		8.915938
0.138000		-0.780000		9.147672
0.139000		-0.780000		9.383044
0.140000		-0.780000		9.622058
0.141000		-0.780000		9.864718
0.142000		-0.780000		10.111027
0.143000		-0.780000		10.360988
0.144000		-0.780000		10.614604
0.145000		-0.780000		10.871877
0.146000		-0.780000		11.132810
0.147000		-0.780000		11.397406
0.148000		-0.780000		11.665666
0.149000		-0.780000		11.937593
0.150000		-0.780000		12.213189
0.151000		-0.780000		12.492457
0.152000		-0.780000		12.775400
0.153000		-0.780000		13.062020
