101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.100000		-0.800000		233.966433
0.101000		-0.800000		237.777166
0.102000		-0.800000		241.604249
0.103000		-0.800000		245.447637
0.104000		-0.800000		249.307262
0.105000		-0.800000		253.183031
0.106000		-0.800000		257.074830
0.107000		-0.800000		260.982524
0.108000		-0.800000		264.905964
0.109000		-0.800000		268.844982
0.110000		-0.800000		272.799399
0.111000		-0.800000		276.769024
0.112000		-0.800000		280.753652
0.113000		-0.800000		284.753072
0.114000		-0.800000		288.767063
0.115000		-0.800000		292.795399
0.116000		-0.800000		296.837845
0.117000		-0.800000		300.894164
0.118000		-0.800000		304.964112
0.119000		-0.800000		309.047442
0.120000		-0.800000		313.143905
0.121000		-0.800000		317.253248
0.122000		-0.800000		321.375215
0.123000		-0.800000		325.509549
0.124000		-0.800000		329.655990
0.125000		-0.800000		333.814280
0.126000		-0.800000		337.984154
0.127000		-0.800000		342.165349
0.128000		-0.800000		346.357600
0.129000		-0.800000		350.560641
0.130000		-0.800000		354.774204
0.131000		-0.800000		358.998019
0.132000		-0.800000		363.231817
0.133000		-0.800000		367.475325
0.134000		-0.800000		371.728270
0.135000		-0.800000		375.990375
0.136000		-0.800000		380.261364
0.137000		-0.800000		384.540959
0.138000		-0.800000		388.828877
0.139000		-0.800000		393.124836
0.140000		-0.800000		397.428552
0.141000		-0.800000		401.739736
0.142000		-0.800000		406.058099
0.143000		-0.800000		410.383350
0.144000		-0.800000		414.715194
0.145000		-0.800000		419.053335
0.146000		-0.800000		423.397473
0.147000		-0.800000		427.747308
0.148000		-0.800000		432.102536
0.149000		-0.800000		436.462851
0.150000		-0.800000		440.827943
0.151000		-0.800000		445.197503
0.152000		-0.800000		449.571218
0.153000		-0.800000		453.948772
0.154000		-0.800000		458.329848
0.155000		-0.800000		462.714126
0.156000		-0.800000		467.101286
0.157000		-0.800000		471.491004
0.158000		-0.800000		475.882956
0.159000		-0.800000		480.276815
0.160000		-0.800000		484.672254
0.161000		-0.800000		489.068944
0.162000		-0.800000		493.466556
0.163000		-0.800000		497.864757
0.164000		-0.800000		502.263216
0.165000		-0.800000		506.661601
0.166000		-0.800000		511.059580
0.167000		-0.800000		515.456818
0.168000		-0.800000		519.852984
0.169000		-0.800000		524.247743
0.170000		-0.800000		528.640764
0.171000		-0.800000		533.031714
0.172000		-0.800000		537.420262
0.173000		-0.800000		541.806076
0.174000		-0.800000		546.188828
0.175000		-0.800000		550.568188
0.176000		-0.800000		554.943831
0.177000		-0.800000		559.315429
0.178000		-0.800000		563.682660
0.179000		-0.800000		568.045202
0.180000		-0.800000		572.402735
0.181000		-0.800000		576.754942
0.182000		-0.800000		581.101509
0.183000		-0.800000		585.442122
0.184000		-0.800000		589.776473
0.185000		-0.800000		594.104255
0.186000		-0.800000		598.425164
0.187000		-0.800000		602.738901
0.188000		-0.800000		607.045168
0.189000		-0.800000		611.343673
0.190000		-0.800000		615.634125
0.191000		-0.800000		619.916238
0.192000		-0.800000		624.189731
0.193000		-0.800000		628.454325
0.194000		-0.800000		632.709745
0.195000		-0.800000		636.955723
0.196000		-0.800000		641.191993
0.197000		-0.800000		645.418292
0.198000		-0.800000		649.634365
0.199000		-0.800000		653.839959
0.200000		-0.800000		658.034825
0.100000		-0.780000		187.982798
0.101000		-0.780000		191.453419
0.102000		-0.780000		194.944439
0.103000		-0.780000		198.455769
0.104000		-0.780000		201.987296
0.105000		-0.780000		205.538892
0.106000		-0.780000		209.110412
0.107000		-0.780000		212.701694
0.108000		-0.780000		216.312564
0.109000		-0.780000		219.942835
0.110000		-0.780000		223.592306
0.111000		-0.780000		227.260770
0.112000		-0.780000		230.948008
0.113000		-0.780000		234.653793
0.114000		-0.780000		238.377892
0.115000		-0.780000		242.120065
0.116000		-0.780000		245.880066
0.117000		-0.780000		249.657643
0.118000		-0.780000		253.452543
0.119000		-0.780000		257.264505
0.120000		-0.780000		261.093267
0.121000		-0.780000		264.938563
0.122000		-0.780000		268.800125
0.123000		-0.780000		272.677681
0.124000		-0.780000		276.570960
0.125000		-0.780000		280.479685
0.126000		-0.780000		284.403579
0.127000		-0.780000		288.342363
0.128000		-0.780000		292.295757
0.129000		-0.780000		296.263478
0.130000		-0.780000		300.245241
0.131000		-0.780000		304.240761
0.132000		-0.780000		308.249750
0.133000		-0.780000		312.271918
0.134000		-0.780000		316.306975
0.135000		-0.780000		320.354627
0.136000		-0.780000		324.414579
0.137000		-0.780000		328.486534
0.138000		-0.780000		332.570194
0.139000		-0.780000		336.665257
0.140000		-0.780000		340.771421
0.141000		-0.780000		344.888381
0.142000		-0.780000		349.015829
0.143000		-0.780000		353.153456
0.144000		-0.780000		357.300950
0.145000		-0.780000		361.457998
0.146000		-0.780000		365.624284
0.147000		-0.780000		369.799489
0.148000		-0.780000		373.983294
0.149000		-0.780000		378.175376
0.150000		-0.780000		382.375411
0.151000		-0.780000		386.583072
0.152000		-0.780000		390.798032
0.153000		-0.780000		395.019959
0.154000		-0.780000		399.248523
0.155000		-0.780000		403.483389
0.156000		-0.780000		407.724222
0.157000		-0.780000		411.970685
0.158000		-0.780000		416.222441
0.159000		-0.780000		420.479151
0.160000		-0.780000		424.740473
0.161000		-0.780000		429.006067
0.162000		-0.780000		433.275590
0.163000		-0.780000		437.548699
0.164000		-0.780000		441.825052
0.165000		-0.780000		446.104305
0.166000		-0.780000		450.386113
0.167000		-0.780000		454.670133
0.168000		-0.780000		458.956022
0.169000		-0.780000		463.243435
0.170000		-0.780000		467.532030
0.171000		-0.780000		471.821465
0.172000		-0.780000		476.111398
0.173000		-0.780000		480.401489
0.174000		-0.780000		484.691398
0.175000		-0.780000		488.980788
0.176000		-0.780000		493.269322
0.177000		-0.780000		497.556666
0.178000		-0.780000		501.842485
0.179000		-0.780000		506.126451
0.180000		-0.780000		510.408233
0.181000		-0.780000		514.687505
0.182000		-0.780000		518.963943
0.183000		-0.780000		523.237226
0.184000		-0.780000		527.507035
0.185000		-0.780000		531.773054
0.186000		-0.780000		536.034971
0.187000		-0.780000		540.292475
0.188000		-0.780000		544.545261
0.189000		-0.780000		548.793025
0.190000		-0.780000		553.035468
0.191000		-0.780000		557.272294
0.192000		-0.780000		561.503211
0.193000		-0.780000		565.727931
0.194000		-0.780000		569.946168
0.195000		-0.780000		574.157643
0.196000		-0.780000		578.362080
0.197000		-0.780000		582.559205
0.198000		-0.780000		586.748751
0.199000		-0.780000		590.930454
0.200000		-0.780000		595.104055
0.100000		-0.760000		152.050005
0.101000		-0.760000		155.178264
0.102000		-0.760000		158.329863
0.103000		-0.760000		161.504693
0.104000		-0.760000		164.702632
0.105000		-0.760000		167.923540
0.106000		-0.760000		171.167264
0.107000		-0.760000		174.433642
0.108000		-0.760000		177.722495
0.109000		-0.760000		181.033639
0.110000		-0.760000		184.366876
0.111000		-0.760000		187.722001
0.112000		-0.760000		191.098799
0.113000		-0.760000		194.497051
0.114000		-0.760000		197.916527
0.115000		-0.760000		201.356993
0.116000		-0.760000		204.818211
0.117000		-0.760000		208.299934
0.118000		-0.760000		211.801914
0.119000		-0.760000		215.323897
0.120000		-0.760000		218.865625
0.121000		-0.760000		222.426837
0.122000		-0.760000		226.007269
0.123000		-0.760000		229.606654
0.124000		-0.760000		233.224721
0.125000		-0.760000		236.861198
0.126000		-0.760000		240.515810
0.127000		-0.760000		244.188278
0.128000		-0.760000		247.878324
0.129000		-0.760000		251.585664
0.130000		-0.760000		255.310014
0.131000		-0.760000		259.051087
0.132000		-0.760000		262.808595
0.133000		-0.760000		266.582247
0.134000		-0.760000		270.371749
0.135000		-0.760000		274.176806
0.136000		-0.760000		277.997120
0.137000		-0.760000		281.832392
0.138000		-0.760000		285.682319
0.139000		-0.760000		289.546598
0.140000		-0.760000		293.424921
0.141000		-0.760000		297.316980
0.142000		-0.760000		301.222464
0.143000		-0.760000		305.141060
0.144000		-0.760000		309.072451
0.145000		-0.760000		313.016321
0.146000		-0.760000		316.972348
0.147000		-0.760000		320.940212
0.148000		-0.760000		324.919588
0.149000		-0.760000		328.910149
0.150000		-0.760000		332.911567
0.151000		-0.760000		336.923513
0.152000		-0.760000		340.945653
0.153000		-0.760000		344.977653
0.154000		-0.760000		349.019179
0.155000		-0.760000		353.069892
0.156000		-0.760000		357.129455
0.157000		-0.760000		361.197526
0.158000		-0.760000		365.273765
0.159000		-0.760000		369.357829
0.160000		-0.760000		373.449374
0.161000		-0.760000		377.548055
0.162000		-0.760000		381.653529
0.163000		-0.760000		385.765447
0.164000		-0.760000		389.883466
0.165000		-0.760000		394.007237
0.166000		-0.760000		398.136414
0.167000		-0.760000		402.270650
0.168000		-0.760000		406.409599
0.169000		-0.760000		410.552914
0.170000		-0.760000		414.700250
0.171000		-0.760000		418.851262
0.172000		-0.760000		423.005604
0.173000		-0.760000		427.162933
0.174000		-0.760000		431.322908
0.175000		-0.760000		435.485187
0.176000		-0.760000		439.649430
0.177000		-0.760000		443.815299
0.178000		-0.760000		447.982457
0.179000		-0.760000		452.150571
0.180000		-0.760000		456.319308
0.181000		-0.760000		460.488337
0.182000		-0.760000		464.657330
0.183000		-0.760000		468.825962
0.184000		-0.760000		472.993908
0.185000		-0.760000		477.160850
0.186000		-0.760000		481.326469
0.187000		-0.760000		485.490450
0.188000		-0.760000		489.652482
0.189000		-0.760000		493.812256
0.190000		-0.760000		497.969467
0.191000		-0.760000		502.123813
0.192000		-0.760000		506.274995
0.193000		-0.760000		510.422718
0.194000		-0.760000		514.566691
0.195000		-0.760000		518.706627
0.196000		-0.760000		522.842240
0.197000		-0.760000		526.973251
0.198000		-0.760000		531.099384
0.199000		-0.760000		535.220367
0.200000		-0.760000		539.335930
0.100000		-0.740000		123.757955
0.101000		-0.740000		126.557220
0.102000		-0.740000		129.381757
0.103000		-0.740000		132.231458
0.104000		-0.740000		135.106206
0.105000		-0.740000		138.005872
0.106000		-0.740000		140.930316
0.107000		-0.740000		143.879385
0.108000		-0.740000		146.852921
0.109000		-0.740000		149.850752
0.110000		-0.740000		152.872700
0.111000		-0.740000		155.918579
0.112000		-0.740000		158.988195
0.113000		-0.740000		162.081346
0.114000		-0.740000		165.197824
0.115000		-0.740000		168.337416
0.116000		-0.740000		171.499902
0.117000		-0.740000		174.685057
0.118000		-0.740000		177.892652
0.119000		-0.740000		181.122453
0.120000		-0.740000		184.374221
0.121000		-0.740000		187.647714
0.122000		-0.740000		190.942685
0.123000		-0.740000		194.258885
0.124000		-0.740000		197.596060
0.125000		-0.740000		200.953953
0.126000		-0.740000		204.332306
0.127000		-0.740000		207.730855
0.128000		-0.740000		211.149335
0.129000		-0.740000		214.587477
