101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.100000		-0.800000		631.906741
0.101000		-0.800000		640.970455
0.102000		-0.800000		650.092385
0.103000		-0.800000		659.273930
0.104000		-0.800000		668.516482
0.105000		-0.800000		677.821422
0.106000		-0.800000		687.190115
0.107000		-0.800000		696.623917
0.108000		-0.800000		706.124165
0.109000		-0.800000		715.692183
0.110000		-0.800000		725.329274
0.111000		-0.800000		735.036726
0.112000		-0.800000		744.815804
0.113000		-0.800000		754.667753
0.114000		-0.800000		764.593797
0.115000		-0.800000		774.595135
0.116000		-0.800000		784.672944
0.117000		-0.800000		794.828372
0.118000		-0.800000		805.062545
0.119000		-0.800000		815.376560
0.120000		-0.800000		825.771484
0.121000		-0.800000		836.248359
0.122000		-0.800000		846.808196
0.123000		-0.800000		857.451975
0.124000		-0.800000		868.180646
0.125000		-0.800000		878.995127
0.126000		-0.800000		889.896306
0.127000		-0.800000		900.885036
0.128000		-0.800000		911.962138
0.129000		-0.800000		923.128402
0.130000		-0.800000		934.384581
0.131000		-0.800000		945.731396
0.132000		-0.800000		957.169533
0.133000		-0.800000		968.699646
0.134000		-0.800000		980.322352
0.135000		-0.800000		992.038235
0.136000		-0.800000		1003.847843
0.137000		-0.800000		1015.751692
0.138000		-0.800000		1027.750260
0.139000		-0.800000		1039.843993
0.140000		-0.800000		1052.033302
0.141000		-0.800000		1064.318563
0.142000		-0.800000		1076.700120
0.143000		-0.800000		1089.178280
0.144000		-0.800000		1101.753319
0.145000		-0.800000		1114.425479
0.146000		-0.800000		1127.194967
0.147000		-0.800000		1140.061959
0.148000		-0.800000		1153.026599
0.149000		-0.800000		1166.088997
0.150000		-0.800000		1179.249233
0.151000		-0.800000		1192.507355
0.152000		-0.800000		1205.863380
0.153000		-0.800000		1219.317295
0.154000		-0.800000		1232.869056
0.155000		-0.800000		1246.518591
0.156000		-0.800000		1260.265797
0.157000		-0.800000		1274.110545
0.158000		-0.800000		1288.052676
0.159000		-0.800000		1302.092004
0.160000		-0.800000		1316.228317
0.161000		-0.800000		1330.461374
0.162000		-0.800000		1344.790912
0.163000		-0.800000		1359.216640
0.164000		-0.800000		1373.738242
0.165000		-0.800000		1388.355380
0.166000		-0.800000		1403.067690
0.167000		-0.800000		1417.874787
0.168000		-0.800000		1432.776263
0.169000		-0.800000		1447.771686
0.170000		-0.800000		1462.860606
0.171000		-0.800000		1478.042550
0.172000		-0.800000		1493.317027
0.173000		-0.800000		1508.683523
0.174000		-0.800000		1524.141509
0.175000		-0.800000		1539.690435
0.176000		-0.800000		1555.329733
0.177000		-0.800000		1571.058820
0.178000		-0.800000		1586.877094
0.179000		-0.800000		1602.783938
0.180000		-0.800000		1618.778719
0.181000		-0.800000		1634.860789
0.182000		-0.800000		1651.029487
0.183000		-0.800000		1667.284134
0.184000		-0.800000		1683.624042
0.185000		-0.800000		1700.048508
0.186000		-0.800000		1716.556817
0.187000		-0.800000		1733.148242
0.188000		-0.800000		1749.822045
0.189000		-0.800000		1766.577476
0.190000		-0.800000		1783.413776
0.191000		-0.800000		1800.330175
0.192000		-0.800000		1817.325895
0.193000		-0.800000		1834.400148
0.194000		-0.800000		1851.552138
0.195000		-0.800000		1868.781060
0.196000		-0.800000		1886.086103
0.197000		-0.800000		1903.466447
0.198000		-0.800000		1920.921267
0.199000		-0.800000		1938.449732
0.200000		-0.800000		1956.051002
0.100000		-0.780000		503.548311
0.101000		-0.780000		511.907728
0.102000		-0.780000		520.332165
0.103000		-0.780000		528.822672
0.104000		-0.780000		537.380297
0.105000		-0.780000		546.006089
0.106000		-0.780000		554.701090
0.107000		-0.780000		563.466341
0.108000		-0.780000		572.302874
0.109000		-0.780000		581.211719
0.110000		-0.780000		590.193893
0.111000		-0.780000		599.250405
0.112000		-0.780000		608.382257
0.113000		-0.780000		617.590435
0.114000		-0.780000		626.875914
0.115000		-0.780000		636.239654
0.116000		-0.780000		645.682603
0.117000		-0.780000		655.205690
0.118000		-0.780000		664.809827
0.119000		-0.780000		674.495909
0.120000		-0.780000		684.264812
0.121000		-0.780000		694.117391
0.122000		-0.780000		704.054482
0.123000		-0.780000		714.076898
0.124000		-0.780000		724.185428
0.125000		-0.780000		734.380842
0.126000		-0.780000		744.663883
0.127000		-0.780000		755.035271
0.128000		-0.780000		765.495700
0.129000		-0.780000		776.045840
0.130000		-0.780000		786.686332
0.131000		-0.780000		797.417794
0.132000		-0.780000		808.240815
0.133000		-0.780000		819.155956
0.134000		-0.780000		830.163754
0.135000		-0.780000		841.264714
0.136000		-0.780000		852.459316
0.137000		-0.780000		863.748008
0.138000		-0.780000		875.131214
0.139000		-0.780000		886.609326
0.140000		-0.780000		898.182710
0.141000		-0.780000		909.851700
0.142000		-0.780000		921.616605
0.143000		-0.780000		933.477701
0.144000		-0.780000		945.435241
0.145000		-0.780000		957.489443
0.146000		-0.780000		969.640502
0.147000		-0.780000		981.888582
0.148000		-0.780000		994.233819
0.149000		-0.780000		1006.676322
0.150000		-0.780000		1019.216170
0.151000		-0.780000		1031.853418
0.152000		-0.780000		1044.588092
0.153000		-0.780000		1057.420189
0.154000		-0.780000		1070.349684
0.155000		-0.780000		1083.376522
0.156000		-0.780000		1096.500622
0.157000		-0.780000		1109.721881
0.158000		-0.780000		1123.040166
0.159000		-0.780000		1136.455323
0.160000		-0.780000		1149.967171
0.161000		-0.780000		1163.575507
0.162000		-0.780000		1177.280103
0.163000		-0.780000		1191.080708
0.164000		-0.780000		1204.977048
0.165000		-0.780000		1218.968827
0.166000		-0.780000		1233.055729
