101
81
T [GeV]		muB [GeV]		c1_T3 [fm^3/GeV^2 * GeV^3]
0.100000		-0.800000		-0.046717
0.101000		-0.800000		-0.044443
0.102000		-0.800000		-0.042303
0.103000		-0.800000		-0.040287
0.104000		-0.800000		-0.038387
0.105000		-0.800000		-0.036596
0.106000		-0.800000		-0.034906
0.107000		-0.800000		-0.033311
0.108000		-0.800000		-0.031805
0.109000		-0.800000		-0.030383
0.110000		-0.800000		-0.029038
0.111000		-0.800000		-0.027767
0.112000		-0.800000		-0.026565
0.113000		-0.800000		-0.025427
0.114000		-0.800000		-0.024350
0.115000		-0.800000		-0.023329
0.116000		-0.800000		-0.022363
0.117000		-0.800000		-0.021446
0.118000		-0.800000		-0.020577
0.119000		-0.800000		-0.019752
0.120000		-0.800000		-0.018970
0.121000		-0.800000		-0.018226
0.122000		-0.800000		-0.017520
0.123000		-0.800000		-0.016850
0.124000		-0.800000		-0.016212
0.125000		-0.800000		-0.015605
0.126000		-0.800000		-0.015028
0.127000		-0.800000		-0.014479
0.128000		-0.800000		-0.013956
0.129000		-0.800000		-0.013457
0.130000		-0.800000		-0.012982
0.131000		-0.800000		-0.012530
0.132000		-0.800000		-0.012098
0.133000		-0.800000		-0.011686
0.134000		-0.800000		-0.011293
0.135000		-0.800000		-0.010918
0.136000		-0.800000		-0.010559
0.137000		-0.800000		-0.010217
0.138000		-0.800000		-0.009889
0.139000		-0.800000		-0.009576
0.140000		-0.800000		-0.009277
0.141000		-0.800000		-0.008990
0.142000		-0.800000		-0.008716
0.143000		-0.800000		-0.008453
0.144000		-0.800000		-0.008202
0.145000		-0.800000		-0.007960
0.146000		-0.800000		-0.007729
0.147000		-0.800000		-0.007508
0.148000		-0.800000		-0.007295
0.149000		-0.800000		-0.007091
0.150000		-0.800000		-0.006895
0.151000		-0.800000		-0.006707
0.152000		-0.800000		-0.006526
0.153000		-0.800000		-0.006352
0.154000		-0.800000		-0.006185
0.155000		-0.800000		-0.006024
0.156000		-0.800000		-0.005870
0.157000		-0.800000		-0.005721
0.158000		-0.800000		-0.005578
0.159000		-0.800000		-0.005440
0.160000		-0.800000		-0.005308
0.161000		-0.800000		-0.005180
0.162000		-0.800000		-0.005056
0.163000		-0.800000		-0.004937
0.164000		-0.800000		-0.004823
0.165000		-0.800000		-0.004712
0.166000		-0.800000		-0.004605
0.167000		-0.800000		-0.004502
0.168000		-0.800000		-0.004402
0.169000		-0.800000		-0.004306
0.170000		-0.800000		-0.004213
0.171000		-0.800000		-0.004123
0.172000		-0.800000		-0.004036
0.173000		-0.800000		-0.003952
0.174000		-0.800000		-0.003871
0.175000		-0.800000		-0.003792
0.176000		-0.800000		-0.003716
0.177000		-0.800000		-0.003642
0.178000		-0.800000		-0.003570
0.179000		-0.800000		-0.003501
0.180000		-0.800000		-0.003434
0.181000		-0.800000		-0.003369
0.182000		-0.800000		-0.003305
0.183000		-0.800000		-0.003244
0.184000		-0.800000		-0.003185
0.185000		-0.800000		-0.003127
0.186000		-0.800000		-0.003071
0.187000		-0.800000		-0.003016
0.188000		-0.800000		-0.002963
0.189000		-0.800000		-0.002912
0.190000		-0.800000		-0.002862
0.191000		-0.800000		-0.002813
0.192000		-0.800000		-0.002766
0.193000		-0.800000		-0.002719
0.194000		-0.800000		-0.002675
0.195000		-0.800000		-0.002631
0.196000		-0.800000		-0.002588
0.197000		-0.800000		-0.002547
0.198000		-0.800000		-0.002507
0.199000		-0.800000		-0.002467
0.200000		-0.800000		-0.002429
0.100000		-0.780000		-0.057130
0.101000		-0.780000		-0.054240
0.102000		-0.780000		-0.051525
0.103000		-0.780000		-0.048973
0.104000		-0.780000		-0.046573
0.105000		-0.780000		-0.044315
0.106000		-0.780000		-0.042189
0.107000		-0.780000		-0.040187
0.108000		-0.780000		-0.038301
0.109000		-0.780000		-0.036522
0.110000		-0.780000		-0.034844
0.111000		-0.780000		-0.033261
0.112000		-0.780000		-0.031767
0.113000		-0.780000		-0.030355
0.114000		-0.780000		-0.029020
0.115000		-0.780000		-0.027759
0.116000		-0.780000		-0.026566
0.117000		-0.780000		-0.025436
0.118000		-0.780000		-0.024367
0.119000		-0.780000		-0.023355
0.120000		-0.780000		-0.022396
0.121000		-0.780000		-0.021486
0.122000		-0.780000		-0.020624
0.123000		-0.780000		-0.019805
0.124000		-0.780000		-0.019029
0.125000		-0.780000		-0.018291
0.126000		-0.780000		-0.017590
0.127000		-0.780000		-0.016924
0.128000		-0.780000		-0.016291
0.129000		-0.780000		-0.015689
0.130000		-0.780000		-0.015116
0.131000		-0.780000		-0.014570
0.132000		-0.780000		-0.014051
0.133000		-0.780000		-0.013556
0.134000		-0.780000		-0.013084
0.135000		-0.780000		-0.012634
0.136000		-0.780000		-0.012205
0.137000		-0.780000		-0.011796
0.138000		-0.780000		-0.011405
0.139000		-0.780000		-0.011032
0.140000		-0.780000		-0.010675
0.141000		-0.780000		-0.010334
0.142000		-0.780000		-0.010008
0.143000		-0.780000		-0.009696
0.144000		-0.780000		-0.009398
0.145000		-0.780000		-0.009113
0.146000		-0.780000		-0.008839
0.147000		-0.780000		-0.008577
0.148000		-0.780000		-0.008326
0.149000		-0.780000		-0.008086
0.150000		-0.780000		-0.007855
0.151000		-0.780000		-0.007634
0.152000		-0.780000		-0.007421
0.153000		-0.780000		-0.007217
0.154000		-0.780000		-0.007021
0.155000		-0.780000		-0.006833
0.156000		-0.780000		-0.006652
0.157000		-0.780000		-0.006478
0.158000		-0.780000		-0.006311
0.159000		-0.780000		-0.006150
0.160000		-0.780000		-0.005995
0.161000		-0.780000		-0.005846
0.162000		-0.780000		-0.005702
0.163000		-0.780000		-0.005564
0.164000		-0.780000		-0.005431
0.165000		-0.780000		-0.005302
0.166000		-0.780000		-0.005178
0.167000		-0.780000		-0.005058
0.168000		-0.780000		-0.004943
0.169000		-0.780000		-0.004831
0.170000		-0.780000		-0.004724
0.171000		-0.780000		-0.004620
0.172000		-0.780000		-0.004519
0.173000		-0.780000		-0.004422
0.174000		-0.780000		-0.004328
0.175000		-0.780000		-0.004237
0.176000		-0.780000		-0.004149
0.177000		-0.780000		-0.004064
0.178000		-0.780000		-0.003981
0.179000		-0.780000		-0.003902
0.180000		-0.780000		-0.003824
0.181000		-0.780000		-0.003749
0.182000		-0.780000		-0.003677
0.183000		-0.780000		-0.003606
0.184000		-0.780000		-0.003538
0.185000		-0.780000		-0.003471
0.186000		-0.780000		-0.003407
0.187000		-0.780000		-0.003344
0.188000		-0.780000		-0.003283
0.189000		-0.780000		-0.003224
0.190000		-0.780000		-0.003167
0.191000		-0.780000		-0.003111
0.192000		-0.780000		-0.003057
0.193000		-0.780000		-0.003004
0.194000		-0.780000		-0.002953
0.195000		-0.780000		-0.002903
0.196000		-0.780000		-0.002855
0.197000		-0.780000		-0.002807
0.198000		-0.780000		-0.002761
0.199000		-0.780000		-0.002716
0.200000		-0.780000		-0.002672
0.100000		-0.760000		-0.069685
0.101000		-0.760000		-0.066030
0.102000		-0.760000		-0.062605
0.103000		-0.760000		-0.059391
0.104000		-0.760000		-0.056376
0.105000		-0.760000		-0.053545
0.106000		-0.760000		-0.050884
0.107000		-0.760000		-0.048384
0.108000		-0.760000		-0.046032
0.109000		-0.760000		-0.043819
0.110000		-0.760000		-0.041735
0.111000		-0.760000		-0.039773
0.112000		-0.760000		-0.037923
0.113000		-0.760000		-0.036179
0.114000		-0.760000		-0.034534
0.115000		-0.760000		-0.032981
0.116000		-0.760000		-0.031515
0.117000		-0.760000		-0.030130
0.118000		-0.760000		-0.028821
0.119000		-0.760000		-0.027583
0.120000		-0.760000		-0.026412
0.121000		-0.760000		-0.025303
0.122000		-0.760000		-0.024254
0.123000		-0.760000		-0.023259
0.124000		-0.760000		-0.022317
0.125000		-0.760000		-0.021423
0.126000		-0.760000		-0.020576
0.127000		-0.760000		-0.019771
0.128000		-0.760000		-0.019008
0.129000		-0.760000		-0.018282
0.130000		-0.760000		-0.017593
0.131000		-0.760000		-0.016937
0.132000		-0.760000		-0.016314
0.133000		-0.760000		-0.015721
0.134000		-0.760000		-0.015156
0.135000		-0.760000		-0.014619
0.136000		-0.760000		-0.014107
0.137000		-0.760000		-0.013618
0.138000		-0.760000		-0.013153
0.139000		-0.760000		-0.012709
0.140000		-0.760000		-0.012285
0.141000		-0.760000		-0.011881
0.142000		-0.760000		-0.011494
0.143000		-0.760000		-0.011125
0.144000		-0.760000		-0.010772
0.145000		-0.760000		-0.010435
0.146000		-0.760000		-0.010112
0.147000		-0.760000		-0.009804
0.148000		-0.760000		-0.009508
0.149000		-0.760000		-0.009225
0.150000		-0.760000		-0.008953
0.151000		-0.760000		-0.008693
0.152000		-0.760000		-0.008444
0.153000		-0.760000		-0.008205
0.154000		-0.760000		-0.007975
0.155000		-0.760000		-0.007755
0.156000		-0.760000		-0.007544
0.157000		-0.760000		-0.007340
0.158000		-0.760000		-0.007145
0.159000		-0.760000		-0.006957
0.160000		-0.760000		-0.006777
0.161000		-0.760000		-0.006603
0.162000		-0.760000		-0.006436
0.163000		-0.760000		-0.006275
0.164000		-0.760000		-0.006120
0.165000		-0.760000		-0.005970
0.166000		-0.760000		-0.005826
