101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.100000		-0.800000		-0.021430
0.101000		-0.800000		-0.020691
0.102000		-0.800000		-0.019986
0.103000		-0.800000		-0.019315
0.104000		-0.800000		-0.018675
0.105000		-0.800000		-0.018064
0.106000		-0.800000		-0.017481
0.107000		-0.800000		-0.016924
0.108000		-0.800000		-0.016392
0.109000		-0.800000		-0.015884
0.110000		-0.800000		-0.015397
0.111000		-0.800000		-0.014932
0.112000		-0.800000		-0.014487
0.113000		-0.800000		-0.014061
0.114000		-0.800000		-0.013653
0.115000		-0.800000		-0.013261
0.116000		-0.800000		-0.012886
0.117000		-0.800000		-0.012527
0.118000		-0.800000		-0.012182
0.119000		-0.800000		-0.011851
0.120000		-0.800000		-0.011533
0.121000		-0.800000		-0.011228
0.122000		-0.800000		-0.010935
0.123000		-0.800000		-0.010653
0.124000		-0.800000		-0.010383
0.125000		-0.800000		-0.010122
0.126000		-0.800000		-0.009872
0.127000		-0.800000		-0.009631
0.128000		-0.800000		-0.009399
0.129000		-0.800000		-0.009175
0.130000		-0.800000		-0.008960
0.131000		-0.800000		-0.008752
0.132000		-0.800000		-0.008552
0.133000		-0.800000		-0.008359
0.134000		-0.800000		-0.008173
0.135000		-0.800000		-0.007994
0.136000		-0.800000		-0.007820
0.137000		-0.800000		-0.007653
0.138000		-0.800000		-0.007491
0.139000		-0.800000		-0.007335
0.140000		-0.800000		-0.007184
0.141000		-0.800000		-0.007038
0.142000		-0.800000		-0.006897
0.143000		-0.800000		-0.006761
0.144000		-0.800000		-0.006629
0.145000		-0.800000		-0.006501
0.146000		-0.800000		-0.006377
0.147000		-0.800000		-0.006257
0.148000		-0.800000		-0.006140
0.149000		-0.800000		-0.006028
0.150000		-0.800000		-0.005918
0.151000		-0.800000		-0.005812
0.152000		-0.800000		-0.005710
0.153000		-0.800000		-0.005610
0.154000		-0.800000		-0.005513
0.155000		-0.800000		-0.005419
0.156000		-0.800000		-0.005327
0.157000		-0.800000		-0.005239
0.158000		-0.800000		-0.005152
0.159000		-0.800000		-0.005068
0.160000		-0.800000		-0.004987
0.161000		-0.800000		-0.004907
0.162000		-0.800000		-0.004830
0.163000		-0.800000		-0.004755
0.164000		-0.800000		-0.004682
0.165000		-0.800000		-0.004610
0.166000		-0.800000		-0.004541
0.167000		-0.800000		-0.004473
0.168000		-0.800000		-0.004407
0.169000		-0.800000		-0.004343
0.170000		-0.800000		-0.004280
0.171000		-0.800000		-0.004219
0.172000		-0.800000		-0.004159
0.173000		-0.800000		-0.004101
0.174000		-0.800000		-0.004044
0.175000		-0.800000		-0.003989
0.176000		-0.800000		-0.003935
0.177000		-0.800000		-0.003881
0.178000		-0.800000		-0.003830
0.179000		-0.800000		-0.003779
0.180000		-0.800000		-0.003730
0.181000		-0.800000		-0.003681
0.182000		-0.800000		-0.003634
0.183000		-0.800000		-0.003587
0.184000		-0.800000		-0.003542
0.185000		-0.800000		-0.003498
0.186000		-0.800000		-0.003454
0.187000		-0.800000		-0.003412
